Not Gender Neutral,Gender Neutral
adman,advertising executive
airman,"aviator, flyer, pilot"
alderman,council member
anchorman,"anchor, commentatorm, newscaster"
anchorwoman,"anchor, commentator, newscaster"
assemblyman,assembly member
businessman,"businessperson, executive"
businesswoman,"businessperson, executive"
cameraman,"camera operator, cinematographer"
caveman,cave dweller
chairman,"chair, chairperson"
chairwoman,"chair, chairperson"
charwoman,office cleaner
committeeman,committee member
committeewoman,committee member
congressman,congressional representative
councilman,council member
councilwoman,council member
countryman,"compatriot, fellow citizen"
countrywoman,"compatriot, fellow citizen"
craftsman,artisan
crewman,crew member
doorman,door attendant
draftsman,drafter
fireman,firefighter
fisherman,angler
foreman,supervisor
gentleman,good person
gentlewoman,good person
handyman,repair person
horseman,equestrian
horsewoman,equestrian
kinsman,relative
kinswoman,relative
lawman,"officer, sheriff"
layman,nonprofessional
laywoman,nonprofessional
letterman,varsity athlete
longshoreman,dockworker
madman,"lunatic, maniac"
madwoman,"lunatic, maniac"
mailman,mail carrier
marksman,"expert shooter, sharpshooter"
middleman,intermediary
newsman,reporter
patrolman,"patrol officer, police officer"
policeman,police officer
policewoman,police officer
postman,"mail carrier, postal worker"
pressman,pres operator
repairman,"repair person, technician"
salesman,"sales clerk, salesperson, sales representative"
saleswoman,"sales clerk, salesperson, sales representative"
serviceman,"service member, technician"
spokesman,"representative, spokesperson"
spokeswoman,"representative, spokesperson"
statesman,"political leader, diplomat, public official"
stateswoman,"political leader, diplomat, public official"
watchman,"guard, security guard"
workman,worker
workwoman,worker
actress,actor
deaconess,deacon
enchantress,enchanter
giantess,giant
heiress,heir
hostess,host
patroness,patron
seamstress,tailor
shepherdess,shepherd
stewardess,"flight attendant, steward"
waitress,"server, waiter"
bellboy,bellhop
busyboy,kitchen helper
newsboy,newspaper carrier
salesgirl,"sales clerk, salesperson, sales representative"
schoolboy,"pupil, schoolchild, student"
schoolgirl,"pupil, schoolchild, student"
stable boy,groom
guy,person
guys,people
lady,person
ladies,people
gentlemen,people
gentlewomen,people
chambermaid,hotel cleaner
housemaid,house cleaner
maid,house cleaner
housewife,homemaker
mankind,"humankind, humanity"
the common man,the common person
the man in the street,the average person
man,person
woman,person
men,people
women,people
